Date,Time,High,Low,Open,Close,Volume
20211230,12:00:00,470.7633,470.1729,470.6058,470.3992,253229
20211230,12:30:00,470.7042,470.2516,470.3992,470.6846,216255
20211230,13:00:00,470.6944,470.2909,470.6846,470.4385,190084
20211230,13:30:00,470.7338,470.409,470.4189,470.6058,188196
20211230,14:00:00,470.6058,470.1237,470.6058,470.4976,264578
20211230,14:30:00,470.6747,470.3697,470.4877,470.4976,191867
20211230,15:00:00,470.4877,469.9268,470.4877,469.9367,260422
20211230,15:30:00,470.0941,468.0867,469.9367,468.5394,1818858
20211231,09:30:00,469.2479,467.8604,468.0277,468.1162,584173
20211231,10:00:00,468.6574,467.2995,468.1261,468.4016,436205
20211231,10:30:00,468.4508,467.516,468.4114,468.2048,281257
20211231,11:00:00,468.3524,467.7816,468.1949,468.3032,242334
20211231,11:30:00,468.3327,467.6734,468.2933,467.7324,150797
20211231,12:00:00,468.0473,467.3585,467.7423,467.5848,274152
20211231,12:30:00,468.5689,467.4963,467.5947,468.5197,166664
20211231,13:00:00,468.746,468.4409,468.5197,468.687,234594
20211231,13:30:00,468.8838,468.2737,468.6771,468.7263,243813
20211231,14:00:00,469.0511,468.254,468.7165,468.4902,513776
20211231,14:30:00,468.7263,468.1556,468.4508,468.3524,446033
20211231,15:00:00,468.933,468.2737,468.3425,468.8346,493865
20211231,15:30:00,469.0904,467.0928,468.8444,467.2995,2530009
20220103,09:30:00,470.0941,466.2957,468.6968,467.3388,1462318
20220103,10:00:00,469.1396,467.1912,467.3585,469.1396,670870
20220103,10:30:00,469.1691,468.0178,469.1396,468.5689,381396
20220103,11:00:00,468.6476,467.4766,468.559,467.9391,383425
20220103,11:30:00,468.2343,466.8763,467.9489,467.7521,386691
20220103,12:00:00,468.3917,467.4471,467.7324,468.3327,263426
20220103,12:30:00,468.3524,467.8899,468.3425,468.008,209112
20220103,13:00:00,468.5787,467.762,468.008,468.4705,246380
20220103,13:30:00,469.1593,468.2737,468.4705,469.1298,332679
20220103,14:00:00,469.4545,468.992,469.1101,469.3069,444636
20220103,14:30:00,470.0548,469.1495,469.3069,469.612,359234
20220103,15:00:00,469.8973,469.3955,469.6021,469.7694,350958
20220103,15:30:00,470.2122,469.0412,469.7694,470.1335,1981999
20220104,09:30:00,472.3082,471.4127,471.5603,472.013,800597
20220104,10:00:00,472.0524,471.0683,472.0228,471.9244,423461
20220104,10:30:00,472.0917,469.8973,471.9244,469.9957,580904
20220104,11:00:00,470.0252,468.8247,470.0056,469.3364,554904
20220104,11:30:00,470.3598,469.2183,469.3266,469.8678,318383
20220104,12:00:00,470.3205,469.4939,469.8481,469.917,213469
20220104,12:30:00,469.9859,469.1003,469.9072,469.1888,222584
20220104,13:00:00,469.7005,469.0019,469.179,469.1691,159599
20220104,13:30:00,469.1987,467.9981,469.1987,468.1261,245099
20220104,14:00:00,469.0511,468.0965,468.1064,468.933,486463
20220104,14:30:00,469.9367,468.9034,468.933,469.7989,392532
20220104,15:00:00,470.6747,469.7596,469.7989,470.6157,491315
20220104,15:30:00,471.3143,469.8284,470.6255,469.8776,1660746
20220105,09:30:00,470.0252,468.5394,469.5529,469.5923,943146
20220105,10:00:00,470.35,469.1495,469.6021,470.0941,473080
20220105,10:30:00,470.104,469.3266,470.0745,469.671,284810
20220105,11:00:00,469.7792,468.8739,469.6808,469.6218,305395
20220105,11:30:00,469.6612,468.6968,469.612,468.9526,334303
20220105,12:00:00,469.6316,468.7657,468.9231,469.5332,300148
20220105,12:30:00,469.5529,468.2737,469.5135,468.3524,436897
20220105,13:00:00,468.4311,467.7226,468.3425,468.2638,373481
20220105,13:30:00,468.5295,467.9981,468.2638,468.254,299885
20220105,14:00:00,469.2872,465.6856,468.2441,465.8529,1343633
20220105,14:30:00,466.2859,463.5995,465.8628,464.1702,1017069
20220105,15:00:00,464.1702,462.4482,464.1702,462.7827,1372689
20220105,15:30:00,463.6684,460.8048,462.7827,460.9032,2976054
20220106,09:30:00,462.891,459.3681,460.4604,459.5846,1342262
20220106,10:00:00,461.1591,458.02,459.5846,460.1947,1000303
20220106,10:30:00,462.2218,460.1849,460.1849,461.2378,836741
20220106,11:00:00,462.4875,460.608,461.2476,461.1394,540996
20220106,11:30:00,461.8381,460.5588,461.1788,461.72,333178
20220106,12:00:00,462.2514,461.2083,461.7298,462.1431,321747
20220106,12:30:00,463.2846,461.8282,462.1038,462.0742,416087
20220106,13:00:00,462.4777,461.0508,462.1038,461.1492,299062
20220106,13:30:00,461.6609,460.9327,461.1591,461.6117,262701
20220106,14:00:00,462.0841,460.8147,461.5429,461.2575,322165
20220106,14:30:00,462.1726,461.1,461.2772,461.9069,407510
20220106,15:00:00,462.6548,460.8737,461.8971,461.4543,523268
20220106,15:30:00,461.6216,459.6338,461.4641,460.4506,1953610
20220107,09:30:00,461.7101,459.2894,460.4801,461.1591,1145215
20220107,10:00:00,461.2673,459.3583,461.1984,459.5453,738390
20220107,10:30:00,459.8798,457.2426,459.4665,457.9019,1017996
20220107,11:00:00,459.0828,457.2721,457.8527,459.004,734032
20220107,11:30:00,460.6179,458.6596,458.9844,460.1849,522813
20220107,12:00:00,460.3325,459.3189,460.2636,459.6043,262175
20220107,12:30:00,459.9684,459.0237,459.624,459.8109,260718
20220107,13:00:00,460.2144,459.3484,459.8208,459.5551,217288
20220107,13:30:00,460.057,459.1418,459.5748,459.437,187798
20220107,14:00:00,459.6929,458.6596,459.4567,459.1221,358977
20220107,14:30:00,460.2636,458.945,459.1221,459.9684,299788
20220107,15:00:00,460.4998,459.2008,460.0373,459.5157,339192
20220107,15:30:00,460.0176,458.4825,459.5059,458.6793,1337070
20220110,09:30:00,455.6189,451.7025,455.3139,452.0272,1535337
20220110,10:00:00,452.224,450.0591,451.9977,450.7775,1374373
20220110,10:30:00,451.3974,449.3113,450.7972,450.4626,1351319
20220110,11:00:00,452.8243,449.7934,450.4626,452.7259,983109
20220110,11:30:00,452.7357,451.1121,452.716,452.1551,710111
20220110,12:00:00,452.1945,450.7381,452.1355,451.0137,480439
20220110,12:30:00,452.8243,450.6397,451.0137,451.9091,848714
20220110,13:00:00,453.5033,451.7714,451.8993,453.1884,933475
20220110,13:30:00,454.7924,452.8144,453.1785,454.507,651923
20220110,14:00:00,455.983,454.32,454.5168,455.7174,767736
20220110,14:30:00,456.4554,454.7432,455.737,455.5796,672693
20220110,15:00:00,456.0716,454.2511,455.5993,455.3041,680379
20220110,15:30:00,458.2955,454.8514,455.2942,458.0889,2746424
20220111,09:30:00,458.0102,454.6743,457.8035,455.4713,1478657
20220111,10:00:00,457.1344,455.1958,455.4713,456.6817,753615
20220111,10:30:00,457.5477,454.9695,456.7014,456.0322,853891
20220111,11:00:00,459.3091,455.9634,456.0618,459.1024,835576
20220111,11:30:00,460.5785,458.7679,459.1024,460.0865,396816
20220111,12:00:00,460.4801,459.2205,460.0865,459.378,310573
20220111,12:30:00,460.362,459.2402,459.378,460.303,200359
20220111,13:00:00,460.9032,459.5354,460.2931,460.608,302771
20220111,13:30:00,461.0902,460.5195,460.6179,460.9721,191813
20220111,14:00:00,461.0213,460.2439,460.9623,460.9032,249345
20220111,14:30:00,461.8774,460.5687,460.8934,461.3952,484357
20220111,15:00:00,462.1234,461.4051,461.4051,461.9561,609272
20220111,15:30:00,462.3498,461.0607,461.9069,462.2317,1869827
20220112,09:30:00,465.1346,463.3732,464.062,465.0263,959119
20220112,10:00:00,465.6463,464.5245,465.0952,464.8295,539521
20220112,10:30:00,464.9476,462.6155,464.8394,463.2354,715046
20220112,11:00:00,463.7176,461.4641,463.2354,462.8615,623222
20220112,11:30:00,463.9931,462.8319,462.8811,463.4617,394851
20220112,12:00:00,463.7569,462.7434,463.4814,463.4125,300690
20220112,12:30:00,464.3277,463.3633,463.4224,464.1505,262149
20220112,13:00:00,464.2293,463.1665,464.2194,463.3338,283731
20220112,13:30:00,463.6093,462.6745,463.324,462.8516,276281
20220112,14:00:00,463.6585,462.2907,462.8418,463.6093,394447
20220112,14:30:00,463.6487,462.7926,463.5995,463.3928,290351
20220112,15:00:00,463.5503,462.6351,463.4125,463.0484,435889
20220112,15:30:00,464.1407,462.645,462.9992,463.5404,1481134
20220113,09:30:00,465.3314,464.2194,464.6622,464.8197,567894
20220113,10:00:00,464.9771,462.9992,464.8689,463.6487,393536
20220113,10:30:00,463.875,461.6905,463.5995,462.458,517591
20220113,11:00:00,463.5503,461.9463,462.4088,463.4716,477562
20220113,11:30:00,463.8357,463.1665,463.4617,463.383,298348
20220113,12:00:00,463.3928,459.7421,463.3928,460.2636,649598
20220113,12:30:00,461.0607,459.4567,460.2538,460.1357,514897
20220113,13:00:00,461.3559,459.5256,460.1258,461.0607,581964
20220113,13:30:00,461.228,460.3325,460.9819,461.1689,286172
20220113,14:00:00,461.7101,459.9093,461.1788,459.9782,454043
20220113,14:30:00,460.0963,459.3386,459.9782,459.8798,508842
20220113,15:00:00,459.9093,458.1184,459.9093,458.8072,765884
20220113,15:30:00,459.1024,456.0716,458.7974,457.1245,3241801
20220114,09:30:00,457.0753,453.3852,453.8674,456.9868,1411498
20220114,10:00:00,457.4394,455.2942,456.9572,455.6583,872582
20220114,10:30:00,455.8846,454.4381,455.7075,455.2253,656812
20220114,11:00:00,455.9929,453.3655,455.2352,454.0642,693487
20220114,11:30:00,455.9437,453.7296,454.0937,455.5501,583793
20220114,12:00:00,455.8748,454.4086,455.5402,454.9498,339027
20220114,12:30:00,455.5009,453.1884,454.9104,453.3163,509740
20220114,13:00:00,453.7985,452.5684,453.2868,453.0998,626919
20220114,13:30:00,454.7825,452.6472,453.0703,454.6054,481881
20220114,14:00:00,455.2253,454.0937,454.5857,454.1232,500136
20220114,14:30:00,455.7174,454.1035,454.1232,454.8612,607980
20220114,15:00:00,456.8293,454.8711,454.8711,456.2487,647791
20220114,15:30:00,457.6559,456.2783,456.2783,457.2623,2681248
20220118,09:30:00,452.598,449.8525,452.4011,450.807,2117171
20220118,10:00:00,452.2043,450.1575,450.7972,451.791,1070239
20220118,10:30:00,451.7615,449.9411,451.7615,450.1969,649127
20220118,11:00:00,450.7381,449.5474,450.2363,450.1674,572776
20220118,11:30:00,451.3974,449.3014,450.1674,450.7578,631567
20220118,12:00:00,450.9448,449.2916,450.7775,449.5671,472834
20220118,12:30:00,449.7246,448.4453,449.5474,448.5142,610460
20220118,13:00:00,449.4982,448.1993,448.5142,448.7897,536628
20220118,13:30:00,450.0198,448.5044,448.7799,449.8623,535336
20220118,14:00:00,450.2953,449.449,449.8427,449.8919,442792
20220118,14:30:00,451.5746,449.8525,449.8722,451.1022,523630
20220118,15:00:00,451.3285,449.1145,451.1022,449.7049,763074
20220118,15:30:00,449.9411,448.0419,449.7442,449.2227,3020853
20220119,09:30:00,452.2535,450.4528,450.7972,452.1355,1036932
20220119,10:00:00,452.2043,449.0653,452.1453,449.1145,620594
20220119,10:30:00,449.4195,448.2091,449.1046,448.9964,751106
20220119,11:00:00,449.2818,447.4711,448.9964,448.3174,627674
20220119,11:30:00,449.577,447.6384,448.3568,449.449,516248
20220119,12:00:00,450.866,449.4195,449.4687,450.7972,462052
20220119,12:30:00,450.9349,449.7738,450.7775,450.7578,392805
20220119,13:00:00,450.8464,449.5474,450.7972,449.5966,366578
20220119,13:30:00,449.9804,448.8094,449.6065,449.1538,341320
20220119,14:00:00,449.3703,447.1661,449.0948,447.2251,419458
20220119,14:30:00,448.6028,446.9988,447.2054,448.0812,380000
20220119,15:00:00,448.8291,447.1956,448.1107,447.294,473760
20220119,15:30:00,447.3924,444.2533,447.2743,444.5781,2893762
20220120,09:30:00,449.7147,446.2804,446.5068,449.3998,1465879
20220120,10:00:00,449.6754,448.2584,449.4294,449.2325,814459
20220120,10:30:00,451.053,449.2227,449.2227,450.7578,719282
20220120,11:00:00,451.4171,449.9706,450.7578,450.6889,589311
20220120,11:30:00,450.8857,449.6557,450.6791,450.1969,437986
20220120,12:00:00,450.5413,449.4884,450.2067,450.1871,316829
20220120,12:30:00,450.4823,449.1932,450.1772,449.4195,262362
20220120,13:00:00,449.4097,448.0517,449.4097,448.406,465916
20220120,13:30:00,448.7799,447.9041,448.4355,448.0222,384989
20220120,14:00:00,449.2818,447.0775,448.0419,447.107,948438
20220120,14:30:00,447.1169,445.7983,447.0873,446.0344,939553
20220120,15:00:00,446.6249,443.0725,446.0147,443.5055,1339643
20220120,15:30:00,443.6334,439.1363,443.5055,439.648,6067685
20220121,09:30:00,439.5299,436.076,438.4573,436.5483,2818385
20220121,10:00:00,437.2175,433.6257,436.5188,435.7316,2399327
20220121,10:30:00,439.9826,435.3084,435.7512,438.969,1998978
20220121,11:00:00,440.8879,438.0342,438.9789,440.3073,1144757
20220121,11:30:00,440.3172,436.4696,440.3172,437.4143,926348
20220121,12:00:00,437.8866,435.8201,437.4044,436.5385,821964
20220121,12:30:00,437.247,435.0624,436.4007,435.7906,957151
20220121,13:00:00,437.1387,434.4523,435.7808,434.9443,1185472
20220121,13:30:00,436.7353,434.7377,434.964,435.1608,826139
20220121,14:00:00,436.2137,434.0685,435.1608,434.1669,838659
20220121,14:30:00,435.2297,432.8385,434.1965,432.9271,1226625
20220121,15:00:00,433.3994,431.0279,432.9172,431.5002,1822754
20220121,15:30:00,434.2161,430.9885,431.4412,431.018,5442053
20220124,09:30:00,426.5308,421.6303,425.1335,422.2306,3969717
20220124,10:00:00,423.4705,418.9537,422.2404,421.8173,2311365
20220124,10:30:00,424.0609,420.9513,421.7386,421.7878,1519047
20220124,11:00:00,421.9354,419.6622,421.9354,420.8923,1215157
20220124,11:30:00,421.217,416.1394,420.912,419.0029,1772197
20220124,12:00:00,418.9931,414.0434,418.9931,415.8048,1780120
20220124,12:30:00,419.5442,414.6141,415.7655,418.5011,1573994
20220124,13:00:00,422.3782,417.95,418.4519,419.495,1989901
20220124,13:30:00,424.4545,419.3867,419.4753,424.3758,1588729
20220124,14:00:00,426.1175,421.0399,424.3856,421.65,2393196
20220124,14:30:00,423.746,419.2391,421.5811,423.4311,2110832
20220124,15:00:00,427.1016,423.067,423.4901,426.147,1784800
20220124,15:30:00,433.3502,425.2614,426.147,432.8582,7712246
20220125,09:30:00,427.7215,421.5417,426.1569,422.2798,3124474
20220125,10:00:00,425.596,420.3412,422.2699,425.596,2613462
20220125,10:30:00,427.0524,423.5393,425.5861,424.2479,1527329
20220125,11:00:00,426.0585,423.008,424.1888,425.3106,1453346
20220125,11:30:00,425.4877,422.3979,425.2516,422.9588,1160024
20220125,12:00:00,425.9207,422.6537,422.9292,425.4779,1021712
20220125,12:30:00,425.4681,423.1752,425.4681,424.6513,819913
20220125,13:00:00,426.7867,423.254,424.671,426.6194,784560
20220125,13:30:00,429.3648,426.2848,426.6194,429.3452,847202
20220125,14:00:00,430.772,427.9675,429.3255,430.339,902252
20220125,14:30:00,432.7007,429.1779,430.3292,432.4842,932888
20220125,15:00:00,432.6023,428.1643,432.5728,428.5087,1439456
20220125,15:30:00,429.8864,426.5603,428.5284,427.5542,4026968
20220126,09:30:00,435.2789,431.7856,433.6848,434.905,1829722
20220126,10:00:00,436.0169,431.5396,434.9345,432.1693,1619795
20220126,10:30:00,432.4744,430.5555,432.1693,432.1201,1143277
20220126,11:00:00,434.039,431.2542,432.1005,433.606,896393
20220126,11:30:00,434.3539,432.7401,433.5962,433.6651,847599
20220126,12:00:00,434.5901,433.5175,433.6651,434.3637,763309
20220126,12:30:00,435.0624,433.9406,434.3933,434.8656,711609
20220126,13:00:00,434.9542,433.0255,434.8558,433.7438,712016
20220126,13:30:00,434.2653,433.3108,433.7536,433.7044,689263
20220126,14:00:00,436.9518,431.7167,433.734,434.413,3517588
20220126,14:30:00,435.0329,427.4755,434.4228,429.3845,4513352
20220126,15:00:00,429.355,422.0141,429.355,426.0585,5243817
20220126,15:30:00,427.6133,423.7263,426.0093,426.5407,6898939
20220127,09:30:00,434.226,430.0241,431.264,433.2419,2348397
20220127,10:00:00,434.5409,430.4178,433.2616,430.4768,1417359
20220127,10:30:00,432.4449,428.922,430.4276,432.1792,1341027
20220127,11:00:00,433.3404,430.0635,432.1792,430.6736,1319232
20220127,11:30:00,432.7401,430.4768,430.6539,431.8938,905321
20220127,12:00:00,432.0217,427.8789,431.9332,428.2824,1288874
20220127,12:30:00,428.6071,425.6353,428.2332,427.072,1581914
20220127,13:00:00,427.5444,423.2245,427.0819,423.3917,1378884
20220127,13:30:00,425.596,423.2048,423.4606,425.0941,1411775
20220127,14:00:00,427.3377,423.6673,425.0646,423.9133,1302916
20220127,14:30:00,426.1077,422.9883,423.9723,424.238,1177560
20220127,15:00:00,425.8321,422.5947,424.2774,424.7005,1345416
20220127,15:30:00,427.0425,423.8838,424.6907,424.3856,3157123
20220128,09:30:00,426.2159,421.0497,425.7928,421.6795,2766277
20220128,10:00:00,425.4484,420.9907,421.6598,423.8542,1833610
20220128,10:30:00,426.5505,422.2404,423.8936,426.4816,1853202
20220128,11:00:00,428.7843,425.1827,426.5308,428.0561,1690134
20220128,11:30:00,430.093,427.3279,428.0561,429.9454,1713379
20220128,12:00:00,430.5654,428.3218,429.9651,428.6268,1086417
20220128,12:30:00,429.1484,427.2688,428.5776,427.6428,967117
20220128,13:00:00,429.5616,427.5149,427.6428,428.676,916557
20220128,13:30:00,429.9651,428.6859,428.6859,429.2468,1035396
20220128,14:00:00,430.2013,425.4877,429.2369,425.6845,1308406
20220128,14:30:00,429.3452,424.9367,425.7042,429.109,1450116
20220128,15:00:00,430.8212,428.6367,429.1188,430.2406,1488280
20220128,15:30:00,434.9443,429.0401,430.28,434.8459,5759567
20220131,09:30:00,436.2826,432.7991,434.1669,436.2531,2042077
20220131,10:00:00,438.6738,436.2039,436.2531,437.2765,1983180
20220131,10:30:00,438.2802,436.7746,437.2765,438.0736,1180595
20220131,11:00:00,438.3983,436.8435,438.0834,437.0797,991252
20220131,11:30:00,439.6579,436.814,437.0797,439.5791,993119
20220131,12:00:00,439.8153,438.5459,439.5791,439.1954,662144
20220131,12:30:00,440.3762,438.7526,439.2052,440.1794,557399
20220131,13:00:00,440.4746,439.5103,440.1794,439.7464,720540
20220131,13:30:00,440.4451,439.402,439.7858,440.2385,705965
20220131,14:00:00,441.2028,440.0613,440.2385,441.193,812046
20220131,14:30:00,441.2126,440.6419,441.2028,440.9273,635844
20220131,15:00:00,441.1241,438.5951,440.9273,440.1007,1467323
20220131,15:30:00,443.0922,439.589,440.0712,442.61,4344467
20220201,09:30:00,443.8203,441.4783,443.5251,442.5903,1843562
20220201,10:00:00,442.856,439.8055,442.5805,441.6063,1408486
20220201,10:30:00,442.8363,440.7403,441.6259,442.8265,714100
20220201,11:00:00,443.6432,442.2262,442.8068,442.7182,635877
20220201,11:30:00,443.8203,441.8227,442.6985,443.4858,1035196
